date,nifty_open,nifty_high,nifty_low,nifty_close,vix_open,vix_high,vix_low,vix_close,nifty_range,nifty_pct_chg,vix_range,vix_pct_chg,nifty_direction,vix_regime
2025-09-25,25034.5,25092.7,24878.3,24904.55,10.52,10.9,10.29,10.7,214.40000000000146,-0.5190836645429298,0.6100000000000012,1.7110266159695797,DOWN,Low
2025-09-26,24818.55,24868.6,24629.45,24673.1,10.78,11.68,10.17,11.35,239.14999999999782,-0.5860535768608566,1.5099999999999998,5.287569573283868,DOWN,Low
2025-09-29,24728.55,24791.3,24606.2,24677.55,11.43,11.73,10.62,11.23,185.09999999999854,-0.20623934682785228,1.1100000000000012,-1.7497812773403232,DOWN,Low
2025-09-30,24691.95,24731.8,24587.7,24633.6,11.37,11.79,10.93,11.0,144.09999999999854,-0.23631183442377468,0.8599999999999994,-3.2541776605101047,DOWN,Low
2025-10-01,24620.55,24867.95,24605.95,24853.4,11.07,11.26,10.15,10.22,262.0,0.9457546642946735,1.1099999999999994,-7.678410117434509,UP,Low
2025-10-03,24759.55,24904.8,24747.55,24895.0,10.29,10.62,9.95,10.05,157.25,0.5470616388423943,0.6699999999999999,-2.3323615160349753,UP,Low
2025-10-06,24916.55,25095.95,24881.65,25072.55,10.06,10.54,9.66,10.22,214.29999999999927,0.6260898880462884,0.879999999999999,1.5904572564612307,UP,Low
2025-10-07,25085.3,25220.9,25076.3,25112.8,10.19,10.45,10.0,10.02,144.60000000000218,0.10962595623731364,0.4499999999999993,-1.6683022571148176,UP,Low
2025-10-08,25079.75,25192.5,25008.5,25023.8,10.05,10.52,9.69,10.33,184.0,-0.22308834816934242,0.8300000000000001,2.7860696517412853,DOWN,Low
2025-10-09,25074.3,25199.25,25024.3,25170.3,10.31,10.57,10.0,10.03,174.95000000000073,0.3828621337385263,0.5700000000000003,-2.715809893307475,UP,Low
2025-10-10,25167.65,25330.75,25156.85,25278.2,10.12,10.34,9.71,10.15,173.90000000000146,0.43925436026008846,0.629999999999999,0.29644268774704496,UP,Low
2025-10-13,25177.3,25267.3,25152.3,25237.15,10.1,11.26,9.78,10.99,115.0,0.2377141313802511,1.4800000000000004,8.81188118811882,UP,Low
2025-10-14,25277.55,25310.35,25060.55,25123.35,11.01,11.67,10.01,11.33,249.79999999999927,-0.6100274749728518,1.6600000000000001,2.906448683015439,DOWN,Low
2025-10-15,25181.95,25365.15,25159.35,25327.75,11.16,11.16,10.43,10.54,205.8000000000029,0.5789861388812101,0.7300000000000004,-5.55555555555557,UP,Low
2025-10-16,25394.9,25625.4,25376.85,25566.3,10.53,11.06,10.38,10.85,248.5500000000029,0.6749386687878278,0.6799999999999997,3.038936372269707,UP,Low
2025-10-17,25546.85,25781.5,25508.6,25704.7,10.87,11.81,9.78,11.67,272.90000000000146,0.6178843967064473,2.030000000000001,7.359705611775547,UP,Low
2025-10-20,25824.6,25926.2,25788.5,25850.7,11.63,11.88,10.67,11.35,137.70000000000073,0.10106642503660002,1.2100000000000009,-2.4075666380051652,UP,Low
2025-10-21,25901.2,25934.35,25826.3,25833.3,11.36,11.6,10.7,11.26,108.04999999999927,-0.26215001621546774,0.9000000000000004,-0.8802816901408383,DOWN,Low
2025-10-23,26057.2,26104.2,25862.45,25870.3,11.3,12.05,10.74,11.75,241.75,-0.7172681638856093,1.3100000000000005,3.9823008849557473,DOWN,Low
2025-10-24,25935.1,25944.15,25718.2,25797.45,11.73,11.94,11.44,11.6,225.95000000000073,-0.5307479053483388,0.5,-1.1082693947144118,DOWN,Low
2025-10-27,25843.2,26005.95,25827.0,25974.0,11.59,12.73,11.28,11.98,178.95000000000073,0.5061292719167776,1.450000000000001,3.364969801553075,UP,Low
