entry_time,exit_time,direction,entry_price,exit_price,exit_reason,points,pnl_pct,score,pillars_fired
2025-07-07 09:40:00+05:30,2025-07-07 15:25:00+05:30,long,25451.9,25454.95,eod,3.0499999999992724,0.011983388273564143,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-08 10:00:00+05:30,2025-07-08 15:10:00+05:30,long,25455.85,25532.217549999998,tp,76.36754999999903,0.2999999999999962,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-08 10:30:00+05:30,2025-07-08 15:05:00+05:30,long,25448.4,25524.745199999998,tp,76.34519999999611,0.2999999999999847,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-08 12:15:00+05:30,2025-07-08 15:05:00+05:30,long,25453.3,25529.659899999995,tp,76.35989999999583,0.2999999999999836,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-09 13:05:00+05:30,2025-07-09 14:50:00+05:30,long,25515.05,25438.504849999998,sl,-76.54515000000174,-0.3000000000000068,4.0,"['sr_alignment', 'approach_volume_match', 'multi_tf_confluence']"
2025-07-15 11:20:00+05:30,2025-07-15 15:25:00+05:30,long,25217.4,25219.65,eod,2.25,0.008922410716410097,4.0,"['fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-16 09:30:00+05:30,2025-07-16 14:10:00+05:30,long,25158.15,25233.62445,tp,75.47444999999789,0.2999999999999916,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-16 10:00:00+05:30,2025-07-16 12:45:00+05:30,long,25152.75,25228.208249999996,tp,75.45824999999604,0.2999999999999843,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-16 11:20:00+05:30,2025-07-16 12:45:00+05:30,long,25141.1,25216.523299999997,tp,75.42329999999856,0.29999999999999427,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-16 12:00:00+05:30,2025-07-16 15:25:00+05:30,long,25180.4,25198.55,eod,18.149999999997817,0.07207987164619234,4.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-21 10:20:00+05:30,2025-07-21 15:25:00+05:30,long,25036.65,25093.3,eod,56.64999999999782,0.22626829068584578,4.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-22 09:30:00+05:30,2025-07-22 11:50:00+05:30,long,25119.05,25043.69285,sl,-75.35714999999982,-0.29999999999999927,5.0,"['sr_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-22 10:00:00+05:30,2025-07-22 15:25:00+05:30,long,25095.45,25064.9,eod,-30.549999999999272,-0.12173521494932059,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-25 09:30:00+05:30,2025-07-25 10:15:00+05:30,short,24950.0,24875.15,tp,74.84999999999854,0.29999999999999416,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-28 13:45:00+05:30,2025-07-28 15:25:00+05:30,short,24682.8,24673.95,eod,8.849999999998545,0.03585492731780246,4.0,"['fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-29 11:20:00+05:30,2025-07-29 13:45:00+05:30,short,24697.5,24771.5925,sl,-74.09249999999884,-0.29999999999999527,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-30 09:45:00+05:30,2025-07-30 15:25:00+05:30,long,24832.45,24844.55,eod,12.099999999998545,0.04872656544158367,5.0,"['sr_alignment', 'volume_node_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-30 13:55:00+05:30,2025-07-30 15:25:00+05:30,short,24866.95,24844.55,eod,22.400000000001455,0.09007940258053945,4.0,"['sr_alignment', 'volume_node_alignment', 'multi_tf_confluence']"
2025-07-31 09:30:00+05:30,2025-07-31 11:20:00+05:30,short,24711.55,24785.684649999996,sl,-74.13464999999633,-0.2999999999999851,5.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-07-31 11:55:00+05:30,2025-07-31 12:35:00+05:30,long,24798.65,24873.04595,tp,74.39594999999827,0.299999999999993,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap']"
2025-08-01 10:00:00+05:30,2025-08-01 11:40:00+05:30,short,24728.1,24653.915699999998,tp,74.1843000000008,0.30000000000000326,4.0,"['sr_alignment', 'fvg_overlap', 'multi_tf_confluence']"
2025-08-01 11:50:00+05:30,2025-08-01 15:05:00+05:30,short,24665.55,24591.55335,tp,73.99665000000095,0.3000000000000039,4.0,"['sr_alignment', 'volume_node_alignment', 'fib_alignment', 'fvg_overlap', 'multi_tf_confluence']"
