date,weekday,day_open,day_high,day_low,day_close,prev_close,prev_high,prev_low,pivot_PP,pivot_R1,pivot_S1,pivot_R2,pivot_S2,pivot_R3,pivot_S3,cam_R1,cam_S1,cam_R2,cam_S2,cam_R3,cam_S3,cam_R4,cam_S4,or15_high,or15_low,or30_high,or30_low
2026-01-01,Thursday,26173.3,26197.55,26113.4,26140.25,26141.85,26187.95,25969.0,26099.6,26230.2,26011.25,26318.55,25880.65,26449.15,25792.3,26161.92,26121.78,26181.99,26101.71,26202.06,26081.64,26262.27,26021.43,26195.35,26149.25,26195.35,26149.25
2026-01-02,Friday,26155.1,26340.0,26118.4,26335.7,26140.25,26197.55,26113.4,26150.4,26187.4,26103.25,26234.55,26066.25,26271.55,26019.1,26147.96,26132.54,26155.68,26124.82,26163.39,26117.11,26186.53,26093.97,26210.4,26118.4,26250.85,26118.4
2026-01-05,Monday,26333.7,26373.2,26210.05,26244.65,26335.7,26340.0,26118.4,26264.7,26411.0,26189.4,26486.3,26043.1,26632.6,25967.8,26356.01,26315.39,26376.33,26295.07,26396.64,26274.76,26457.58,26213.82,26358.25,26287.65,26358.25,26263.6
2026-01-06,Tuesday,26189.7,26273.95,26124.75,26174.65,26244.65,26373.2,26210.05,26275.97,26341.88,26178.73,26439.12,26112.82,26505.03,26015.58,26259.61,26229.69,26274.56,26214.74,26289.52,26199.78,26334.38,26154.92,26238.6,26144.7,26238.6,26144.7
2026-01-07,Wednesday,26143.1,26187.15,26067.9,26142.9,26174.65,26273.95,26124.75,26191.12,26257.48,26108.28,26340.32,26041.92,26406.68,25959.08,26188.33,26160.97,26202.0,26147.3,26215.68,26133.62,26256.71,26092.59,26166.0,26104.3,26166.0,26104.3
2026-01-08,Thursday,26106.5,26133.2,25858.45,25868.9,26142.9,26187.15,26067.9,26132.65,26197.4,26078.15,26251.9,26013.4,26316.65,25958.9,26153.83,26131.97,26164.76,26121.04,26175.69,26110.11,26208.49,26077.31,26133.2,26060.4,26133.2,26049.85
2026-01-09,Friday,25840.4,25940.6,25623.0,25703.7,25868.9,26133.2,25858.45,25953.52,26048.58,25773.83,26228.27,25678.77,26323.33,25499.08,25894.09,25843.71,25919.27,25818.53,25944.46,25793.34,26020.01,25717.79,25940.6,25837.55,25940.6,25818.35
2026-01-12,Monday,25669.05,25813.15,25473.4,25806.1,25703.7,25940.6,25623.0,25755.77,25888.53,25570.93,26073.37,25438.17,26206.13,25253.33,25732.81,25674.59,25761.93,25645.47,25791.04,25616.36,25878.38,25529.02,25700.95,25529.05,25700.95,25529.05
2026-01-13,Tuesday,25897.35,25899.8,25603.3,25714.2,25806.1,25813.15,25473.4,25697.55,25921.7,25581.95,26037.3,25357.8,26261.45,25242.2,25837.24,25774.96,25868.39,25743.81,25899.53,25712.67,25992.96,25619.24,25899.8,25760.05,25899.8,25709.85
2026-01-14,Wednesday,25648.55,25791.75,25603.95,25669.1,25714.2,25899.8,25603.3,25739.1,25874.9,25578.4,26035.6,25442.6,26171.4,25281.9,25741.38,25687.02,25768.56,25659.84,25795.74,25632.66,25877.28,25551.12,25750.45,25638.35,25750.45,25638.35
2026-01-16,Friday,25696.05,25873.5,25662.4,25701.9,25669.1,25791.75,25603.95,25688.27,25772.58,25584.78,25876.07,25500.47,25960.38,25396.98,25686.31,25651.88,25703.53,25634.67,25720.74,25617.45,25772.39,25565.81,25743.25,25678.4,25743.25,25678.4
2026-01-19,Monday,25653.1,25653.3,25494.35,25555.5,25701.9,25873.5,25662.4,25745.93,25829.47,25618.37,25957.03,25534.83,26040.57,25407.27,25721.25,25682.55,25740.6,25663.2,25759.95,25643.85,25818.01,25585.8,25653.3,25528.3,25653.3,25528.3
2026-01-20,Tuesday,25580.3,25585.0,25171.35,25225.35,25555.5,25653.3,25494.35,25567.72,25641.08,25482.13,25726.67,25408.77,25800.03,25323.18,25570.07,25540.93,25584.64,25526.36,25599.21,25511.79,25642.92,25468.08,25585.0,25483.15,25585.0,25453.85
2026-01-21,Wednesday,25141.0,25300.95,24919.8,25168.1,25225.35,25585.0,25171.35,25327.23,25483.12,25069.47,25740.88,24913.58,25896.77,24655.82,25263.27,25187.43,25301.19,25149.51,25339.1,25111.6,25452.86,24997.84,25277.75,25130.15,25277.75,25130.15
2026-01-22,Thursday,25344.15,25435.75,25168.5,25320.45,25168.1,25300.95,24919.8,25129.62,25339.43,24958.28,25510.77,24748.47,25720.58,24577.13,25203.04,25133.16,25237.98,25098.22,25272.92,25063.28,25377.73,24958.47,25401.65,25302.45,25425.7,25302.45
2026-01-23,Friday,25344.6,25347.95,25025.3,25064.75,25320.45,25435.75,25168.5,25308.23,25447.97,25180.72,25575.48,25040.98,25715.22,24913.47,25344.95,25295.95,25369.45,25271.45,25393.94,25246.96,25467.44,25173.46,25347.95,25249.1,25347.95,25249.1
2026-01-27,Tuesday,25063.35,25246.65,24932.55,25234.1,25064.75,25347.95,25025.3,25146.0,25266.7,24944.05,25468.65,24823.35,25589.35,24621.4,25094.33,25035.17,25123.9,25005.6,25153.48,24976.02,25242.21,24887.29,25126.3,24932.55,25151.0,24932.55
2026-01-28,Wednesday,25258.85,25372.1,25187.65,25348.05,25234.1,25246.65,24932.55,25137.77,25342.98,25028.88,25451.87,24823.67,25657.08,24714.78,25262.89,25205.31,25291.68,25176.51,25320.48,25147.72,25406.85,25061.34,25372.1,25225.7,25372.1,25225.7
2026-01-29,Thursday,25345.0,25458.15,25159.8,25422.1,25348.05,25372.1,25187.65,25302.6,25417.55,25233.1,25487.05,25118.15,25602.0,25048.65,25364.96,25331.14,25381.87,25314.23,25398.77,25297.33,25449.5,25246.6,25359.35,25248.55,25359.35,25204.25
2026-01-30,Friday,25247.55,25370.7,25213.65,25315.8,25422.1,25458.15,25159.8,25346.68,25533.57,25235.22,25645.03,25048.33,25831.92,24936.87,25449.45,25394.75,25476.8,25367.4,25504.15,25340.05,25586.19,25258.01,25285.95,25218.95,25308.8,25218.95
2026-02-01,Sunday,25333.75,25440.9,24571.75,24768.0,25315.8,25370.7,25213.65,25300.05,25386.45,25229.4,25457.1,25143.0,25543.5,25072.35,25330.2,25301.4,25344.59,25287.01,25358.99,25272.61,25402.18,25229.42,25342.55,25252.3,25346.85,25252.3
2026-02-02,Monday,24796.5,25108.1,24679.4,25079.9,24768.0,25440.9,24571.75,24926.88,25282.02,24412.87,25796.03,24057.73,26151.17,23543.72,24847.67,24688.33,24927.34,24608.66,25007.02,24528.98,25246.03,24289.97,24884.7,24726.85,24918.55,24726.85
2026-02-03,Tuesday,26308.05,26341.2,25641.3,25714.8,25079.9,25108.1,24679.4,24955.8,25232.2,24803.5,25384.5,24527.1,25660.9,24374.8,25119.2,25040.6,25158.5,25001.31,25197.79,24962.01,25315.69,24844.12,26341.2,25761.05,26341.2,25692.3
2026-02-04,Wednesday,25675.05,25818.55,25563.95,25737.5,25714.8,26341.2,25641.3,25899.1,26156.9,25457.0,26599.0,25199.2,26856.8,24757.1,25778.96,25650.64,25843.11,25586.49,25907.27,25522.33,26099.74,25329.85,25788.3,25563.95,25792.55,25563.95
2026-02-05,Thursday,25755.9,25757.65,25579.5,25641.6,25737.5,25818.55,25563.95,25706.67,25849.38,25594.78,25961.27,25452.07,26103.98,25340.18,25760.84,25714.16,25784.18,25690.82,25807.51,25667.49,25877.53,25597.47,25757.65,25666.15,25757.65,25625.65
2026-02-06,Friday,25605.8,25703.95,25491.9,25673.6,25641.6,25757.65,25579.5,25659.58,25739.67,25561.52,25837.73,25481.43,25917.82,25383.37,25657.93,25625.27,25674.26,25608.94,25690.59,25592.61,25739.58,25543.62,25630.8,25553.55,25630.8,25522.25
