trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2025-10-07,07_OCT_25,0,2025-10-07T09:45:00+05:30,resistance,PE,25250,25145.7,108.05,2,130,,0.49,2025-10-07T09:55:00+05:30,69.9,SL,10,-5032.5,-35.38
2025-10-07,07_OCT_25,0,2025-10-07T10:26:00+05:30,resistance,PE,25250,25173.75,81.35,3,195,,0.68,2025-10-07T11:23:00+05:30,128.2,TP,57,9056.25,57.43
2025-10-07,07_OCT_25,0,2025-10-07T11:53:00+05:30,resistance,PE,25250,25126.05,132.4,2,130,,0.87,2025-10-07T12:05:00+05:30,89.35,SL,12,-5669.5,-32.58
2025-10-07,07_OCT_25,0,2025-10-07T12:35:00+05:30,resistance,PE,25250,25156.05,89.65,3,195,,-0.1,2025-10-07T13:09:00+05:30,56.8,SL,34,-6485.25,-36.73
2025-10-08,14_OCT_25,6,2025-10-08T09:45:00+05:30,resistance,PE,25250,25171.05,127.5,2,130,,0.3,2025-10-08T11:01:00+05:30,196.8,TP,76,8936.0,54.25
2025-10-08,14_OCT_25,6,2025-10-08T13:11:00+05:30,resistance,PE,25200,25095.15,146.85,2,130,,1.97,2025-10-08T15:25:00+05:30,184.95,EOD,134,4880.0,25.87
2025-10-09,14_OCT_25,5,2025-10-09T09:45:00+05:30,resistance,PE,25150,25062.5,134.5,2,130,,0.39,2025-10-09T11:01:00+05:30,86.35,SL,76,-6332.5,-35.86
2025-10-09,14_OCT_25,5,2025-10-09T12:06:00+05:30,resistance,PE,25250,25127.75,133.3,2,130,,-0.29,2025-10-09T12:10:00+05:30,127.0,BREAK_SR,4,-892.0,-4.8
2025-10-10,14_OCT_25,4,2025-10-10T09:47:00+05:30,resistance,PE,25400,25278.5,129.2,2,130,,1.08,2025-10-10T10:17:00+05:30,112.65,BREAK_SR,30,-2224.5,-12.88
2025-10-10,14_OCT_25,4,2025-10-10T11:33:00+05:30,resistance,PE,25400,25275.85,111.75,2,130,,-0.1,2025-10-10T11:34:00+05:30,109.85,BREAK_SR,1,-320.0,-1.79
2025-10-10,14_OCT_25,4,2025-10-10T12:08:00+05:30,resistance,PE,25400,25276.8,116.55,2,130,,0.1,2025-10-10T12:13:00+05:30,110.65,BREAK_SR,5,-840.0,-5.15
2025-10-13,14_OCT_25,1,2025-10-13T14:25:00+05:30,support,CE,25150,25235.45,126.45,2,130,,0.09,2025-10-13T15:25:00+05:30,125.7,EOD,60,-170.5,-0.67
2025-10-14,14_OCT_25,0,2025-10-14T09:45:00+05:30,resistance,PE,25350,25236.6,107.95,2,130,,1.29,2025-10-14T10:02:00+05:30,169.25,TP,17,7896.0,56.67
2025-10-14,14_OCT_25,0,2025-10-14T10:32:00+05:30,resistance,PE,25300,25207.65,107.25,2,130,,4.13,2025-10-14T11:19:00+05:30,164.2,TP,47,7330.5,52.98
2025-10-15,20_OCT_25,5,2025-10-15T09:51:00+05:30,resistance,PE,25300,25213.75,127.1,2,130,,-0.37,2025-10-15T10:17:00+05:30,101.2,BREAK_SR,26,-3440.0,-20.45
2025-10-16,20_OCT_25,4,2025-10-16T09:49:00+05:30,resistance,PE,25550,25437.85,128.85,2,130,,0.96,2025-10-16T09:53:00+05:30,119.85,BREAK_SR,4,-1243.0,-7.06
2025-10-16,20_OCT_25,4,2025-10-16T11:46:00+05:30,resistance,PE,25550,25443.3,122.55,2,130,,2.21,2025-10-16T11:50:00+05:30,120.0,BREAK_SR,4,-404.5,-2.16
2025-10-24,28_OCT_25,4,2025-10-24T09:45:00+05:30,resistance,PE,26000,25884.95,132.75,2,130,,1.37,2025-10-24T11:05:00+05:30,201.95,TP,80,8923.0,52.03
