trade_date,expiry,dte,entry_ts,sr_kind,side,strike,spot_at_entry,entry_premium,lots,qty,candle_pattern,vix_pct_change,exit_ts,exit_premium,exit_reason,minutes_held,net_pnl,return_pct
2025-10-09,14_OCT_25,5,2025-10-09T12:06:00+05:30,resistance,PE,25250,25127.75,133.3,2,130,BEAR_ENGULF,-0.29,2025-10-09T12:10:00+05:30,127.0,BREAK_SR,4,-892.0,-4.8
2025-10-10,14_OCT_25,4,2025-10-10T10:08:00+05:30,resistance,PE,25350,25253.55,107.2,2,130,BEAR_ENGULF,0.39,2025-10-10T10:17:00+05:30,85.8,BREAK_SR,9,-2855.0,-20.05
2025-10-10,14_OCT_25,4,2025-10-10T11:40:00+05:30,resistance,PE,25400,25278.4,113.75,2,130,BEAR_ENGULF,-0.2,2025-10-10T11:41:00+05:30,112.3,BREAK_SR,1,-261.5,-1.36
2025-10-13,14_OCT_25,1,2025-10-13T14:25:00+05:30,support,CE,25150,25235.45,126.45,2,130,BULL_ENGULF,0.09,2025-10-13T15:25:00+05:30,125.7,EOD,60,-170.5,-0.67
2025-10-14,14_OCT_25,0,2025-10-14T09:50:00+05:30,resistance,PE,25350,25234.0,112.2,2,130,BEAR_PIN,1.38,2025-10-14T10:02:00+05:30,169.25,TP,12,7343.5,50.73
2025-10-14,14_OCT_25,0,2025-10-14T10:49:00+05:30,resistance,PE,25300,25211.5,98.0,3,195,SHOOTING_STAR,3.4,2025-10-14T11:16:00+05:30,147.25,TP,27,9524.25,50.13
2025-10-16,20_OCT_25,4,2025-10-16T09:57:00+05:30,resistance,PE,25550,25437.45,127.7,2,130,BEAR_ENGULF,1.06,2025-10-16T10:24:00+05:30,125.6,BREAK_SR,27,-346.0,-1.72
2025-10-24,28_OCT_25,4,2025-10-24T09:47:00+05:30,resistance,PE,26000,25882.65,132.2,2,130,SHOOTING_STAR,1.37,2025-10-24T11:05:00+05:30,201.95,TP,78,8994.5,52.67
2025-10-24,28_OCT_25,4,2025-10-24T12:22:00+05:30,support,CE,25750,25850.8,194.55,1,65,BULL_ENGULF,-0.09,2025-10-24T13:29:00+05:30,120.1,SL,67,-4905.75,-38.31
2025-10-24,28_OCT_25,4,2025-10-24T14:27:00+05:30,support,CE,25650,25773.95,192.1,1,65,BULL_PIN,0.17,2025-10-24T15:25:00+05:30,198.6,EOD,58,356.0,3.33
2025-10-28,28_OCT_25,0,2025-10-28T09:50:00+05:30,resistance,PE,26100,26003.35,104.2,2,130,BEAR_ENGULF,1.15,2025-10-28T10:01:00+05:30,160.1,TP,11,7194.0,53.53
2025-10-28,28_OCT_25,0,2025-10-28T12:51:00+05:30,support,CE,25850,25932.65,116.4,2,130,HAMMER,0.49,2025-10-28T13:42:00+05:30,79.9,SL,51,-4818.0,-31.43
2025-10-29,04_NOV_25,6,2025-10-29T09:48:00+05:30,resistance,PE,26050,25969.8,163.2,1,65,BEAR_PIN,0.5,2025-10-29T10:32:00+05:30,111.25,SL,44,-3443.25,-31.88
2025-10-29,04_NOV_25,6,2025-10-29T11:13:00+05:30,resistance,PE,26100,26020.25,146.3,2,130,BEAR_ENGULF,0.17,2025-10-29T13:39:00+05:30,110.65,BREAK_SR,146,-4707.5,-24.43
2025-10-29,04_NOV_25,6,2025-10-29T14:21:00+05:30,resistance,PE,26150,26050.65,155.05,1,65,DARK_CLOUD,0.17,2025-10-29T15:25:00+05:30,149.3,EOD,64,-440.25,-3.77
2025-10-31,04_NOV_25,4,2025-10-31T10:00:00+05:30,resistance,PE,26000,25919.05,122.5,2,130,SHOOTING_STAR,-0.41,2025-10-31T10:31:00+05:30,200.3,TP,31,10041.0,63.4
2025-10-31,04_NOV_25,4,2025-10-31T11:19:00+05:30,support,CE,25700,25787.45,183.7,1,65,BULL_ENGULF,0.33,2025-10-31T11:30:00+05:30,175.15,BREAK_SR,11,-622.25,-4.71
2025-10-31,04_NOV_25,4,2025-10-31T12:09:00+05:30,support,CE,25700,25822.25,200.05,1,65,HAMMER,0.0,2025-10-31T13:36:00+05:30,165.2,BREAK_SR,87,-2331.75,-17.47
2025-11-03,04_NOV_25,1,2025-11-03T09:57:00+05:30,resistance,PE,25850,25744.9,130.0,2,130,BEAR_ENGULF,1.66,2025-11-03T10:31:00+05:30,129.8,BE_STOP,34,-99.0,-0.23
2025-11-03,04_NOV_25,1,2025-11-03T11:02:00+05:30,resistance,PE,25850,25748.9,124.2,2,130,BEAR_PIN,0.87,2025-11-03T12:57:00+05:30,121.7,BE_STOP,115,-398.0,-2.09
2025-11-03,04_NOV_25,1,2025-11-03T13:27:00+05:30,resistance,PE,25850,25740.9,134.25,2,130,BEAR_ENGULF,0.08,2025-11-03T14:22:00+05:30,91.9,SL,55,-5578.5,-31.61
2025-11-04,04_NOV_25,0,2025-11-04T10:24:00+05:30,support,CE,25600,25702.2,119.0,2,130,BULL_ENGULF,-0.93,2025-11-04T11:25:00+05:30,76.75,BREAK_SR,61,-5565.5,-35.57
