trade_date,expiry,days_to_expiry,entry_ts,side,strike,entry_spot,range_5m_at_entry,entry_premium,lots,qty,exit_ts,exit_premium,exit_spot,exit_reason,minutes_held,net_pnl,return_pct
2025-09-22,23_SEP_25,1,2025-09-22T14:07:00+05:30,PE,25300,25284.2,31.2,41.65,7,455,2025-09-22T14:28:00+05:30,57.6,25246.55,TP,21,7151.75,38.01
2025-09-23,23_SEP_25,0,2025-09-23T09:30:00+05:30,CE,25150,25172.95,48.0,59.45,5,325,2025-09-23T09:42:00+05:30,43.0,25145.2,SL,12,-5438.75,-27.82
2025-09-23,23_SEP_25,0,2025-09-23T10:22:00+05:30,CE,25100,25113.65,34.9,55.8,5,325,2025-09-23T11:16:00+05:30,41.25,25095.65,SL,54,-4821.25,-26.23
2025-09-23,23_SEP_25,0,2025-09-23T12:35:00+05:30,PE,25200,25207.15,44.7,28.25,10,650,2025-09-23T12:45:00+05:30,37.2,25176.95,TP,10,5692.5,31.27
2025-09-23,23_SEP_25,0,2025-09-23T12:45:00+05:30,CE,25200,25176.95,41.05,29.4,10,650,2025-09-23T13:00:00+05:30,40.7,25197.4,TP,15,7220.0,38.03
2025-09-23,23_SEP_25,0,2025-09-23T13:31:00+05:30,PE,25250,25238.3,41.85,27.8,11,715,2025-09-23T13:37:00+05:30,37.05,25219.9,TP,6,6482.25,32.85
2025-09-23,23_SEP_25,0,2025-09-23T14:07:00+05:30,PE,25250,25260.9,39.85,15.1,20,1300,2025-09-23T14:12:00+05:30,19.95,25245.15,TP,5,6115.0,31.35
2025-09-23,23_SEP_25,0,2025-09-23T14:14:00+05:30,CE,25200,25206.9,47.8,36.25,8,520,2025-09-23T14:21:00+05:30,24.4,25200.85,SL,7,-6274.0,-32.92
2025-09-25,30_SEP_25,5,2025-09-25T09:30:00+05:30,CE,25050,25055.6,33.35,125.3,2,130,2025-09-25T10:36:00+05:30,93.35,25011.35,SL,66,-4226.5,-25.57
2025-09-26,30_SEP_25,4,2025-09-26T09:30:00+05:30,CE,24800,24776.65,40.75,108.55,2,130,2025-09-26T13:15:00+05:30,78.35,24747.05,SL,225,-3999.0,-27.9
2025-09-26,30_SEP_25,4,2025-09-26T13:51:00+05:30,CE,24700,24681.3,40.9,99.2,3,195,2025-09-26T15:25:00+05:30,85.15,24662.15,EOD,94,-2819.25,-14.26
2025-09-29,30_SEP_25,1,2025-09-29T10:21:00+05:30,PE,24800,24789.25,31.1,48.05,6,390,2025-09-29T10:38:00+05:30,63.5,24754.25,TP,17,5926.5,31.91
2025-09-29,30_SEP_25,1,2025-09-29T11:36:00+05:30,CE,24700,24681.15,35.4,92.4,3,195,2025-09-29T12:02:00+05:30,67.75,24646.6,SL,26,-4886.25,-26.77
2025-09-29,30_SEP_25,1,2025-09-29T12:39:00+05:30,CE,24600,24618.45,34.0,104.5,2,130,2025-09-29T13:10:00+05:30,139.85,24675.75,TP,31,4522.5,33.72
2025-09-29,30_SEP_25,1,2025-09-29T13:10:00+05:30,PE,24700,24675.75,42.05,58.35,5,325,2025-09-29T13:31:00+05:30,42.8,24712.05,SL,21,-5146.25,-26.8
2025-09-30,30_SEP_25,0,2025-09-30T09:30:00+05:30,CE,24650,24655.65,58.8,67.3,4,260,2025-09-30T10:09:00+05:30,50.3,24644.15,SL,39,-4506.0,-25.39
2025-09-30,30_SEP_25,0,2025-09-30T10:38:00+05:30,CE,24600,24595.6,30.45,48.25,6,390,2025-09-30T10:53:00+05:30,64.9,24623.95,TP,15,6394.5,34.27
2025-09-30,30_SEP_25,0,2025-09-30T11:25:00+05:30,CE,24650,24639.95,37.3,42.3,7,455,2025-09-30T11:35:00+05:30,56.0,24662.55,TP,10,6128.0,32.11
2025-09-30,30_SEP_25,0,2025-09-30T14:11:00+05:30,CE,24600,24607.75,34.4,38.85,7,455,2025-09-30T14:19:00+05:30,24.1,24601.4,SL,8,-6816.75,-38.17
2025-09-30,30_SEP_25,0,2025-09-30T14:23:00+05:30,PE,24650,24626.7,33.2,42.6,7,455,2025-09-30T14:35:00+05:30,23.3,24644.25,SL,12,-8887.0,-45.49
2025-10-01,07_OCT_25,6,2025-10-01T09:52:00+05:30,CE,24650,24662.0,30.1,148.05,2,130,2025-10-01T11:33:00+05:30,193.6,24745.85,TP,101,5848.5,30.69
2025-10-01,07_OCT_25,6,2025-10-01T11:44:00+05:30,PE,24800,24776.0,35.55,101.95,3,195,2025-10-01T14:24:00+05:30,76.05,24821.55,SL,160,-5130.0,-25.49
2025-10-03,07_OCT_25,4,2025-10-03T10:44:00+05:30,CE,24800,24782.85,32.65,86.65,3,195,2025-10-03T12:05:00+05:30,119.2,24840.0,TP,81,6267.75,37.43
2025-10-03,07_OCT_25,4,2025-10-03T12:17:00+05:30,CE,24800,24814.85,30.75,101.5,3,195,2025-10-03T14:41:00+05:30,134.75,24874.0,TP,144,6404.25,32.64
2025-10-06,07_OCT_25,1,2025-10-06T13:50:00+05:30,CE,25050,25042.7,33.4,75.5,4,260,2025-10-06T15:25:00+05:30,78.0,25078.6,EOD,95,564.0,3.18
2025-10-07,07_OCT_25,0,2025-10-07T09:51:00+05:30,PE,25200,25182.55,34.65,47.8,6,390,2025-10-07T11:11:00+05:30,62.85,25146.4,TP,80,5770.5,31.24
2025-10-07,07_OCT_25,0,2025-10-07T11:23:00+05:30,CE,25100,25116.2,31.9,51.9,5,325,2025-10-07T11:35:00+05:30,36.2,25100.55,SL,12,-5195.0,-30.41
2025-10-07,07_OCT_25,0,2025-10-07T13:40:00+05:30,PE,25200,25205.0,31.6,15.8,19,1235,2025-10-07T14:09:00+05:30,11.1,25209.4,SL,29,-5988.0,-30.28
2025-10-07,07_OCT_25,0,2025-10-07T14:28:00+05:30,CE,25150,25161.7,33.85,29.4,10,650,2025-10-07T14:34:00+05:30,18.15,25158.3,SL,6,-7437.5,-38.54
2025-10-08,14_OCT_25,6,2025-10-08T11:01:00+05:30,CE,25050,25074.25,32.75,134.8,2,130,2025-10-08T12:24:00+05:30,99.95,25014.8,SL,83,-4603.5,-25.92
2025-10-08,14_OCT_25,6,2025-10-08T13:18:00+05:30,PE,25100,25110.5,30.4,86.7,3,195,2025-10-08T14:34:00+05:30,114.6,25056.3,TP,76,5361.0,32.05
2025-10-09,14_OCT_25,5,2025-10-09T09:35:00+05:30,CE,25100,25078.1,37.4,99.35,3,195,2025-10-09T11:01:00+05:30,131.45,25126.6,TP,86,6180.0,32.19
2025-10-09,14_OCT_25,5,2025-10-09T11:01:00+05:30,PE,25150,25126.6,35.1,86.35,3,195,2025-10-09T11:37:00+05:30,63.7,25170.5,SL,36,-4496.25,-26.33
2025-10-09,14_OCT_25,5,2025-10-09T14:14:00+05:30,CE,25150,25140.25,30.45,108.9,2,130,2025-10-09T15:25:00+05:30,121.25,25178.3,EOD,71,1532.5,11.24
2025-10-10,14_OCT_25,4,2025-10-10T09:45:00+05:30,PE,25300,25276.75,36.15,75.5,4,260,2025-10-10T11:14:00+05:30,56.0,25309.95,SL,89,-5156.0,-25.94
2025-10-10,14_OCT_25,4,2025-10-10T12:46:00+05:30,PE,25300,25312.95,32.65,53.1,5,325,2025-10-10T15:25:00+05:30,50.25,25288.3,EOD,159,-1018.75,-5.55
2025-10-13,14_OCT_25,1,2025-10-13T09:31:00+05:30,CE,25150,25165.5,37.5,99.0,3,195,2025-10-13T09:46:00+05:30,131.15,25225.7,TP,15,6189.75,32.36
2025-10-13,14_OCT_25,1,2025-10-13T10:30:00+05:30,PE,25200,25214.5,32.2,62.35,4,260,2025-10-13T11:23:00+05:30,84.25,25170.8,TP,53,5608.0,34.94
2025-10-13,14_OCT_25,1,2025-10-13T13:03:00+05:30,CE,25200,25176.5,31.2,62.6,4,260,2025-10-13T14:23:00+05:30,83.2,25231.65,TP,80,5270.0,32.72
2025-10-13,14_OCT_25,1,2025-10-13T14:23:00+05:30,PE,25250,25231.65,30.95,63.75,4,260,2025-10-13T15:25:00+05:30,53.1,25235.3,EOD,62,-2855.0,-16.85
2025-10-14,14_OCT_25,0,2025-10-14T09:39:00+05:30,CE,25250,25248.35,43.0,57.05,5,325,2025-10-14T10:02:00+05:30,34.55,25187.0,SL,23,-7405.0,-39.58
2025-10-14,14_OCT_25,0,2025-10-14T10:26:00+05:30,PE,25200,25202.05,32.35,48.85,6,390,2025-10-14T10:44:00+05:30,34.5,25219.05,SL,18,-5695.5,-29.55
2025-10-14,14_OCT_25,0,2025-10-14T10:51:00+05:30,CE,25200,25207.55,30.0,54.8,5,325,2025-10-14T11:06:00+05:30,38.4,25179.15,SL,15,-5422.5,-30.08
2025-10-14,14_OCT_25,0,2025-10-14T11:19:00+05:30,CE,25150,25140.8,33.2,47.1,6,390,2025-10-14T12:09:00+05:30,31.75,25116.15,SL,50,-6085.5,-32.77
2025-10-14,14_OCT_25,0,2025-10-14T12:28:00+05:30,CE,25100,25092.2,34.15,38.6,7,455,2025-10-14T13:07:00+05:30,28.55,25089.0,SL,39,-4678.25,-26.26
2025-10-14,14_OCT_25,0,2025-10-14T13:46:00+05:30,CE,25100,25102.85,32.4,39.55,7,455,2025-10-14T14:06:00+05:30,53.25,25132.4,TP,20,6128.0,34.34
2025-10-14,14_OCT_25,0,2025-10-14T14:12:00+05:30,CE,25100,25099.75,31.05,33.35,9,585,2025-10-14T14:24:00+05:30,50.5,25149.1,TP,12,9914.25,51.05
2025-10-14,14_OCT_25,0,2025-10-14T14:24:00+05:30,PE,25150,25149.1,42.8,25.05,12,780,2025-10-14T14:28:00+05:30,18.0,25151.2,SL,4,-5637.0,-28.49
2025-10-15,20_OCT_25,5,2025-10-15T09:37:00+05:30,CE,25250,25233.55,31.15,142.15,2,130,2025-10-15T10:53:00+05:30,193.25,25301.85,TP,76,6570.0,35.86
2025-10-15,20_OCT_25,5,2025-10-15T11:07:00+05:30,CE,25300,25290.8,31.4,146.1,2,130,2025-10-15T15:25:00+05:30,160.35,25332.95,EOD,258,1779.5,9.68
2025-10-16,20_OCT_25,4,2025-10-16T14:24:00+05:30,PE,25600,25589.0,30.45,85.25,3,195,2025-10-16T15:25:00+05:30,88.6,25570.35,EOD,61,573.75,3.81
2025-10-17,20_OCT_25,3,2025-10-17T09:30:00+05:30,PE,25600,25604.0,41.2,79.1,3,195,2025-10-17T10:07:00+05:30,58.7,25645.2,SL,37,-4057.5,-25.9
2025-10-21,28_OCT_25,7,2025-10-21T13:51:00+05:30,CE,25900,25879.15,41.05,153.4,2,130,2025-10-21T15:25:00+05:30,115.55,0.0,EOD,94,-4993.5,-24.73
2025-10-23,28_OCT_25,5,2025-10-23T09:30:00+05:30,PE,26050,26066.75,32.8,86.7,3,195,2025-10-23T14:01:00+05:30,116.65,25980.3,TP,271,5760.75,34.41
2025-10-24,28_OCT_25,4,2025-10-24T09:38:00+05:30,PE,25900,25906.25,36.05,74.75,4,260,2025-10-24T10:17:00+05:30,100.4,25860.65,TP,39,6583.0,34.16
2025-10-24,28_OCT_25,4,2025-10-24T10:18:00+05:30,CE,25850,25846.0,33.75,130.45,2,130,2025-10-24T11:06:00+05:30,93.5,25798.45,SL,48,-4876.5,-28.39
2025-10-24,28_OCT_25,4,2025-10-24T11:08:00+05:30,PE,25850,25829.0,30.55,100.1,3,195,2025-10-24T12:11:00+05:30,70.4,25855.25,SL,63,-5871.0,-29.76
2025-10-24,28_OCT_25,4,2025-10-24T13:32:00+05:30,CE,25750,25761.7,34.35,117.6,2,130,2025-10-24T15:25:00+05:30,128.65,25799.2,EOD,113,1363.5,9.31
2025-10-27,28_OCT_25,1,2025-10-27T09:41:00+05:30,PE,25950,25933.1,35.3,63.9,4,260,2025-10-27T11:00:00+05:30,47.45,25979.2,SL,79,-4363.0,-25.88
2025-10-27,28_OCT_25,1,2025-10-27T13:19:00+05:30,CE,25950,25940.0,30.6,91.75,3,195,2025-10-27T14:36:00+05:30,119.6,25982.25,TP,77,5351.25,30.23
2025-10-28,28_OCT_25,0,2025-10-28T09:32:00+05:30,PE,26000,26012.75,42.35,49.35,6,390,2025-10-28T09:53:00+05:30,69.4,25963.85,TP,21,7720.5,40.38
2025-10-28,28_OCT_25,0,2025-10-28T09:53:00+05:30,CE,25950,25963.85,53.35,87.05,3,195,2025-10-28T10:04:00+05:30,64.35,25928.65,SL,11,-4506.0,-26.18
2025-10-28,28_OCT_25,0,2025-10-28T10:54:00+05:30,CE,25850,25858.25,31.45,67.05,4,260,2025-10-28T11:59:00+05:30,48.3,25848.65,SL,65,-4961.0,-28.09
2025-10-28,28_OCT_25,0,2025-10-28T12:36:00+05:30,PE,25900,25895.55,37.15,35.55,8,520,2025-10-28T12:44:00+05:30,24.95,25929.0,SL,8,-5624.0,-30.06
2025-10-28,28_OCT_25,0,2025-10-28T13:05:00+05:30,CE,25900,25911.45,33.95,61.65,4,260,2025-10-28T13:26:00+05:30,83.25,25952.0,TP,21,5530.0,34.85
2025-10-28,28_OCT_25,0,2025-10-28T13:27:00+05:30,PE,25950,25952.55,30.1,27.45,11,715,2025-10-28T13:36:00+05:30,37.55,25933.15,TP,9,7090.0,36.36
