sl_pct,tp_pct,time_stop_min,trades,win_rate,winners,losers,net_pnl,avg_win,avg_loss,profit_factor,max_dd,return_over_dd
0.2,0.4,30,87,33.33333333333333,29,58,-35561.83349999991,1237.694870689656,-1231.9824956896541,0.5023183669492008,38359.82099999994,-0.9270594224097127
0.2,0.4,45,87,32.18390804597701,28,59,-27872.184749999924,1536.9570535714295,-1201.8132584745754,0.6069190386395278,30477.66599999994,-0.9145117854497119
0.2,0.4,60,87,35.63218390804598,31,56,-33371.291999999914,1442.9710887096785,-1394.7034955357133,0.5727293073553728,37296.28949999994,-0.8947617161755452
0.2,0.4,90,87,35.63218390804598,31,56,-26610.990749999914,1806.6739112903233,-1475.31932142857,0.6779027723078168,35173.12199999994,-0.7565717581168928
0.2,0.4,120,87,33.33333333333333,29,58,-30396.34574999993,2253.354439655173,-1650.7521465517232,0.6825235527823584,39867.461999999934,-0.7624349337813373
0.2,0.5,30,87,33.33333333333333,29,58,-36768.58162499992,1196.0828663793113,-1231.9824956896541,0.48543013823818715,39566.56912499993,-0.9292840506044251
0.2,0.5,45,87,32.18390804597701,28,59,-30716.74162499992,1435.3657366071438,-1201.8132584745754,0.5668022999949354,33322.222874999934,-0.9218095005314071
0.2,0.5,60,87,35.63218390804598,31,56,-34853.593874999904,1395.1548991935495,-1394.7034955357133,0.5537505950885633,38901.962624999935,-0.8959340743544288
0.2,0.5,90,87,35.63218390804598,31,56,-27723.178874999907,1770.7968750000011,-1475.31932142857,0.6644409393719399,37038.46574999993,-0.7484969561677904
0.2,0.5,120,87,33.33333333333333,29,58,-29875.89637499992,2271.300969827587,-1650.7521465517232,0.6879594173395854,35928.077624999925,-0.8315473120168082
0.2,0.6,30,87,33.33333333333333,29,58,-35840.342249999914,1228.0911206896562,-1231.9824956896541,0.4984206857590864,38638.32974999993,-0.927585185019546
0.2,0.6,45,87,32.18390804597701,28,59,-29562.44474999992,1476.590625000001,-1201.8132584745754,0.5830813297656602,32167.92599999993,-0.9190037539255712
0.2,0.6,60,87,35.63218390804598,31,56,-34209.0344999999,1415.9471370967754,-1394.7034955357133,0.5620032372280058,37747.66574999994,-0.9062556272105369
0.2,0.6,90,87,35.63218390804598,31,56,-26511.998249999906,1809.8672177419364,-1475.31932142857,0.6791009693276824,34715.09699999993,-0.7637022661927161
0.2,0.6,120,87,32.18390804597701,28,59,-30886.13699999991,2347.9106250000004,-1637.7565169491515,0.680359173027257,36938.31824999992,-0.8361543909758258
0.25,0.2,30,87,39.08045977011494,34,53,-32536.24593749993,1010.000514705883,-1261.8162912735843,0.5134858877409159,33716.370937499945,-0.9649984572127406
0.25,0.2,45,87,39.08045977011494,34,53,-29646.809999999936,1140.107977941177,-1290.7637971698105,0.566633512024885,31967.87249999995,-0.9273939014865622
0.25,0.2,60,87,42.5287356321839,37,50,-33926.94281249993,1088.336351351352,-1483.9077562499992,0.5427351508932454,35709.14906249994,-0.950091046782417
0.25,0.2,90,87,43.67816091954023,38,49,-30397.934062499935,1267.1833223684218,-1603.079598214285,0.613016096040052,39552.54281249997,-0.7685456332504907
0.25,0.2,120,87,44.827586206896555,39,48,-35611.84687499995,1357.467980769231,-1844.856210937499,0.597847532960045,44000.37187499997,-0.8093533158349012
0.25,0.25,30,87,36.7816091954023,32,55,-33091.41656249993,1088.7717773437507,-1235.129335227272,0.5128752089695362,34761.886874999946,-0.9519453498451667
0.25,0.25,45,87,36.7816091954023,32,55,-30231.899999999925,1227.4142578125006,-1263.8028409090898,0.5650659333100458,33043.307812499945,-0.9149174825821617
0.25,0.25,60,87,40.229885057471265,35,52,-31995.665624999918,1236.4477767857154,-1447.525727163461,0.5749289629380473,34268.21718749995,-0.9336834026098974
0.25,0.25,90,87,43.67816091954023,38,49,-25921.478437499918,1384.9847861842115,-1603.079598214285,0.6700040568042351,37876.31906249995,-0.684371635869017
0.25,0.25,120,87,42.5287356321839,37,50,-29920.51687499994,1646.5449324324334,-1816.8535874999995,0.6706337034436469,41539.226249999956,-0.7202954791436437
0.25,0.3,30,87,36.7816091954023,32,55,-30521.674687499923,1169.076210937501,-1235.129335227272,0.5507032956426273,32682.49031249994,-0.9338846090264554
0.25,0.3,45,87,35.63218390804598,31,56,-25772.43562499992,1414.548447580646,-1243.2756696428564,0.6298310375008425,29423.045624999944,-0.8759268484123818
0.25,0.3,60,87,39.08045977011494,34,53,-29024.04374999991,1403.6909558823543,-1448.1044575471694,0.6218342785100549,33483.52687499994,-0.8668156093099725
0.25,0.3,90,87,41.37931034482759,36,51,-24402.608437499908,1577.4934375000012,-1592.007297794117,0.69944703202973,40176.41718749994,-0.6073863760328603
0.25,0.3,120,87,39.08045977011494,34,53,-29149.261874999927,1893.747849264707,-1764.8431839622635,0.6883654717251262,45222.26437499995,-0.6445776715929865
0.25,0.35,30,87,36.7816091954023,32,55,-27255.660937499917,1271.1391406250011,-1235.129335227272,0.598780907021594,30508.124999999945,-0.8933902341589319
0.25,0.35,45,87,35.63218390804598,31,56,-21724.085624999916,1545.1403830645172,-1243.2756696428564,0.687977405238,26835.75843749994,-0.8095200914703033
0.25,0.35,60,87,39.08045977011494,34,53,-24900.89531249991,1524.9600275735306,-1448.1044575471694,0.6755564068636318,31252.686562499934,-0.7967601525296858
0.25,0.35,90,87,41.37931034482759,36,51,-18786.261562499905,1733.503072916668,-1592.007297794117,0.7686203635100569,36126.959062499925,-0.5200067221268063
0.25,0.35,120,87,37.93103448275862,33,54,-25244.22937499992,2112.36903409091,-1758.3779166666661,0.7341380799112446,41779.73531249994,-0.604221859860543
0.25,0.4,30,87,36.7816091954023,32,55,-27315.499687499927,1269.2691796875006,-1235.129335227272,0.5979000460123886,30183.480937499953,-0.9049817595280455
0.25,0.4,45,87,34.48275862068966,30,57,-23710.21499999993,1535.2970000000003,-1224.0197368421045,0.6601617835969713,26315.696249999943,-0.9009913617618984
0.25,0.4,60,87,37.93103448275862,33,54,-29793.082499999917,1443.4200000000008,-1433.8137499999996,0.6152054267857319,34338.62999999995,-0.8676258342280971
0.25,0.4,90,87,39.08045977011494,34,53,-22382.496562499924,1789.813897058824,-1570.4937558962254,0.7310965075087312,36156.87843749995,-0.6190384106634054
0.25,0.4,120,87,36.7816091954023,32,55,-21925.764374999955,2344.7541796875003,-1762.8708749999994,0.7738630395356463,37109.54249999996,-0.5908389836657237
0.25,0.5,30,87,36.7816091954023,32,55,-29072.616562499927,1214.3592773437508,-1235.129335227272,0.57203426934085,31870.604062499944,-0.9122078924355178
0.25,0.5,45,87,34.48275862068966,30,57,-25817.868749999925,1465.041875000001,-1224.0197368421045,0.6299528086384923,28423.349999999937,-0.9083330694657731
0.25,0.5,60,87,37.93103448275862,33,54,-30538.481249999913,1420.8321590909104,-1433.8137499999996,0.6055781787867814,35207.39999999994,-0.8673881414134518
0.25,0.5,90,87,39.08045977011494,34,53,-22757.781562499917,1778.7761029411774,-1570.4937558962254,0.7265878305209882,37285.31906249994,-0.6103684274325755
0.25,0.5,120,87,36.7816091954023,32,55,-18735.841874999933,2444.4392578125007,-1762.8708749999994,0.8067631184532761,34058.135624999944,-0.5501135494112932
0.25,0.6,30,87,36.7816091954023,32,55,-28144.377187499922,1243.3667578125007,-1235.129335227272,0.5856984898108051,30942.364687499947,-0.9095742187690539
0.25,0.6,45,87,34.48275862068966,30,57,-23926.66874999992,1528.081875000001,-1224.0197368421045,0.6570593546930689,27204.22499999994,-0.8795203226704665
0.25,0.6,60,87,37.93103448275862,33,54,-29157.018749999916,1462.6946590909104,-1433.8137499999996,0.6234205511931619,33316.199999999946,-0.8751603949429996
0.25,0.6,90,87,39.08045977011494,34,53,-20809.697812499908,1836.0726838235307,-1570.4937558962254,0.7499921242546084,34225.047187499935,-0.6080253943404427
0.25,0.6,120,87,35.63218390804598,31,56,-17267.94562499993,2586.934959677421,-1740.4094531249991,0.8228255015960019,31743.262499999943,-0.5439877399180365
0.3,0.2,30,87,41.37931034482759,36,51,-28013.064374999936,975.3660416666672,-1237.769448529411,0.5562374134283128,29193.189374999954,-0.9595753316007796
0.3,0.2,45,87,42.5287356321839,37,50,-24159.153374999947,1106.171655405406,-1301.7500924999993,0.6288204085531884,26878.713374999963,-0.8988210498747499
0.3,0.2,60,87,45.97701149425287,40,47,-27350.183999999936,1060.8281250000007,-1484.7512553191484,0.6080698322861136,29309.26274999995,-0.933158374991878
0.3,0.2,90,87,49.42528735632184,43,44,-21014.663999999946,1187.794970930233,-1638.4056306818172,0.7084934334599153,31483.450874999966,-0.6674828653134413
0.3,0.2,120,87,51.724137931034484,45,42,-20552.575874999966,1293.360416666667,-1875.0903482142849,0.7390274846708702,30684.181499999984,-0.6698101389799163
0.3,0.25,30,87,39.08045977011494,34,53,-28385.763749999925,1052.8331801470597,-1210.982865566037,0.5577307794005281,30056.234062499952,-0.944421835782008
0.3,0.25,45,87,39.08045977011494,34,53,-25314.188999999937,1204.7765625000009,-1250.5017382075466,0.6180523441480441,28125.596812499945,-0.9000409544642791
0.3,0.25,60,87,43.67816091954023,38,49,-24727.436812499924,1213.9953207236852,-1446.1073265306115,0.6510344990694873,26999.988374999935,-0.9158313873718467
0.3,0.25,90,87,48.275862068965516,42,45,-17776.72274999993,1324.968526785715,-1631.6755749999988,0.7578941001593826,30425.61899999995,-0.5842682362518232
0.3,0.25,120,87,48.275862068965516,42,45,-15326.843062499946,1596.4782366071436,-1830.6428666666664,0.8139470463071939,28688.633062499965,-0.5342479381680357
0.3,0.3,30,87,39.08045977011494,34,53,-25633.55062499993,1133.780625000001,-1210.982865566037,0.6006121041532358,28026.770624999972,-0.91460949846768
0.3,0.3,45,87,37.93103448275862,33,54,-20443.610249999925,1392.3413068181826,-1229.460618055555,0.6920719790124323,27037.042124999964,-0.7561333875016091
0.3,0.3,60,87,42.5287356321839,37,50,-21317.18212499992,1385.7597972972983,-1451.8058924999996,0.7063356439710835,26023.777124999935,-0.8191425104283347
0.3,0.3,90,87,45.97701149425287,40,47,-16015.912124999915,1512.5122500000011,-1628.0085558510627,0.7906865498088145,32483.776499999945,-0.49304341584174927
0.3,0.3,120,87,44.827586206896555,39,48,-14460.473999999933,1822.102403846155,-1781.7180781249992,0.8309160811136683,32276.557124999956,-0.448017858410292
0.3,0.35,30,87,39.08045977011494,34,53,-22185.065624999916,1235.206654411766,-1210.982865566037,0.6543418112920469,27460.752187499966,-0.8078826637202777
0.3,0.35,45,87,37.93103448275862,33,54,-15984.145874999926,1527.476590909092,-1229.460618055555,0.7592418195085999,26555.561812499967,-0.6019133011705303
0.3,0.35,60,87,42.5287356321839,37,50,-16502.563687499915,1515.884619932434,-1451.8058924999996,0.7726615689776183,23101.466812499937,-0.7143513362783772
0.3,0.35,90,87,45.97701149425287,40,47,-9708.095249999915,1670.2076718750013,-1628.0085558510627,0.8731239972033656,27742.84837499994,-0.3499314532803424
0.3,0.35,120,87,43.67816091954023,38,49,-9399.482437499923,2040.4922121710536,-1774.2487040816322,0.8918831549643614,27678.06899999995,-0.33960036870707777
0.3,0.4,30,87,39.08045977011494,34,53,-22062.433124999938,1238.8134926470593,-1210.982865566037,0.6562525078184053,27225.826874999973,-0.8103494239603314
0.3,0.4,45,87,36.7816091954023,32,55,-17559.16087499994,1530.5437500000005,-1209.7556522727264,0.736097558333564,26074.081499999967,-0.6734335349454194
0.3,0.4,60,87,41.37931034482759,36,51,-20703.28087499993,1460.0950000000007,-1436.601977941176,0.7174257796823452,25495.94024999995,-0.812022646428973
